,Outlet,Compound Score,Negative Score,Neutral Score,Positive Score,Tweet Text,Tweet Date,Tweet Number
77,@FoxNews,0.0,0.0,1.0,0.0,WATCH: Sen. Orrin Hatch Snaps at 'Loudmouth' Protester During Kavanaugh Hearing https://t.co/u0xwfaoOaH,Tue Sep 04 18:00:00 +0000 2018,78
78,@FoxNews,0.0,0.0,1.0,0.0,Jon Kyl filling John McCain's Senate seat draws reactions from lawmakers https://t.co/qxeCqeGfG4,Tue Sep 04 17:45:00 +0000 2018,79
79,@FoxNews,0.5574,0.0,0.816,0.184,"A woman stands and voices her opposition to Supreme Court nominee Brett Kavanaugh, during a Senate Judiciary Commit… https://t.co/ryY60s9iJp",Tue Sep 04 17:36:15 +0000 2018,80
80,@FoxNews,-0.886,0.464,0.536,0.0,"Illegal immigrant used Pennsylvania store owner's gun against him, nearly killing him, police say https://t.co/cY9UbIQIPg",Tue Sep 04 17:35:00 +0000 2018,81
81,@FoxNews,0.0,0.0,1.0,0.0,OPINION: James Dobson: Kavanaugh is one of many Trump judicial nominees who deserve Senate confirmation https://t.co/bmtCP6NbS4,Tue Sep 04 17:25:00 +0000 2018,82
82,@FoxNews,0.0,0.0,1.0,0.0,The Senate Judiciary Committee holds confirmation hearing for Judge Brett Kavanaugh https://t.co/0DpCLWWIq2,Tue Sep 04 17:20:25 +0000 2018,83
83,@FoxNews,0.5859,0.0,0.703,0.297,"Amazing Egyptian discovery: Village that predates pharaohs, pyramids uncovered https://t.co/NW8WznkWAZ",Tue Sep 04 17:14:07 +0000 2018,84
84,@FoxNews,0.0,0.0,1.0,0.0,Arizona Governor @dougducey holds a news conference. https://t.co/kHEGLB8MdT https://t.co/Tai9r796iI,Tue Sep 04 17:06:50 +0000 2018,85
85,@FoxNews,-0.8126,0.412,0.588,0.0,"Oregon firefighter dies after suffering 'irreversible' damage to organs while battling wildfires, family says https://t.co/GpsKPo5Prj",Tue Sep 04 17:00:29 +0000 2018,86
86,@FoxNews,0.3818,0.0,0.755,0.245,Volcano lights up snowy sky in stunning photo https://t.co/Hgkvc4fNgA,Tue Sep 04 16:55:00 +0000 2018,87
87,@FoxNews,0.0772,0.0,0.929,0.071,".@SenTedCruz: “Most Americans, and I know the overwhelming majority of Texans, want judges who will follow the law… https://t.co/lp44ZbFcl6",Tue Sep 04 16:46:58 +0000 2018,88
88,@FoxNews,0.2263,0.0,0.894,0.106,"JUST IN: Jon Kyl will be John McCain's successor in the Senate, Cindy McCain says https://t.co/kHEGLB8MdT https://t.co/hQmzRlVgpf",Tue Sep 04 16:37:03 +0000 2018,89
89,@FoxNews,0.5574,0.0,0.816,0.184,"A woman stands and voices her opposition to Supreme Court nominee Brett Kavanaugh, during a Senate Judiciary Commit… https://t.co/BPEqd7FHZG",Tue Sep 04 16:34:23 +0000 2018,90
90,@FoxNews,0.0,0.0,1.0,0.0,Military manufacturer swamped by bulletproof backpack orders as US school year begins https://t.co/nxkJxiPgeG,Tue Sep 04 16:30:00 +0000 2018,91
91,@FoxNews,0.0772,0.0,0.902,0.098,Kavanaugh documents take center stage in confirmation hearing: What do Dems want? https://t.co/SNJvk3CW28,Tue Sep 04 16:21:12 +0000 2018,92
92,@FoxNews,0.0,0.0,1.0,0.0,JUST IN: Chicago Mayor Rahm Emanuel announces he will not seek re-election https://t.co/Yw6udIeUcj,Tue Sep 04 16:03:17 +0000 2018,93
93,@FoxNews,0.4404,0.0,0.873,0.127,".@SenatorDurbin: “If you believe that your public record is one that you can stand behind and defend, I hope that a… https://t.co/OaLzZpUn7R",Tue Sep 04 16:03:02 +0000 2018,94
94,@FoxNews,-0.4767,0.291,0.709,0.0,"⚡️ “Kavanaugh hearing repeatedly interrupted by Dem objections, protests ” by @FoxNews

https://t.co/9mdiCnVDmA",Tue Sep 04 16:01:52 +0000 2018,95
95,@FoxNews,0.1779,0.173,0.667,0.16,"Protesters dressed in The Handmaid's Tale costume, protest outside the hearing room where Supreme Court nominee Jud… https://t.co/MXQG3c4va3",Tue Sep 04 15:58:15 +0000 2018,96
96,@FoxNews,-0.0516,0.235,0.588,0.176,Kavanaugh Supreme Court hearing kicks off with numerous arrests as protesters shout down lawmakers https://t.co/JVHGolXA1H,Tue Sep 04 15:39:50 +0000 2018,97
97,@FoxNews,-0.34,0.278,0.556,0.167,Cornyn says Democrats interrupting Kavanaugh Supreme Court hearing would be ‘in contempt of court’ https://t.co/tNI5Fvo753,Tue Sep 04 15:29:02 +0000 2018,98
98,@FoxNews,0.5233,0.0,0.834,0.166,.@OrrinHatch: “Judge Kavanaugh is unquestionably qualified. He’s one of the most widely respected judges in the cou… https://t.co/X8tvxHmnh6,Tue Sep 04 15:23:32 +0000 2018,99
99,@FoxNews,0.0,0.0,1.0,0.0,The Senate Judiciary Committee holds confirmation hearing for Judge Brett Kavanaugh https://t.co/yn6vF0SFwV,Tue Sep 04 15:14:08 +0000 2018,100
